course_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
病理学基础——损伤的修复,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615
"C++, 1st program to expert programmer",0,0,0,0,0,0,0,0,0,0,0,0,0,0.998969412153,0,0,0,0,0,0,0,0,0,0,0,0
Create your own Nail Salon from home,0,0,0,0,0,0.447965629116,0.218316286996,0,0,0,0,0,0.0268964429148,0,0,0,0,0,0,0,0,0,0.143538031819,0,0,0.15085757365
C++ Operating on Files,0,0,0,0,0,0.266630321641,0,0,0,0,0.033743365659,0,0,0.690690803764,0,0,0,0,0,0,0,0,0,0,0,0
Learn & Earn: Make Passive Income Selling eBooks & Courses,0,0,0,0,0,0.11321512777,0.0770253004487,0.0392502786177,0,0,0.0469100198726,0,0,0,0,0,0,0,0,0,0,0.722384698392,0,0,0,0
Trading System: Trading Around a Job,0,0,0,0,0,0.295749254805,0,0.184653294159,0,0,0,0,0,0,0,0,0,0.0109948779308,0,0,0,0.0241848561324,0,0,0.475563984714,0
Meditation for Natural Confidence & Self-Esteem,0.0186129172002,0,0,0,0,0.467841391899,0,0,0.271630633216,0,0,0,0.112783043798,0,0,0,0,0.0164736230548,0,0.0330468347058,0,0,0,0,0,0.0786710551863
Accent Reduction Made Fast and Easy,0,0,0,0,0.371842804966,0.519436090257,0.0418784237214,0,0,0,0,0,0,0,0,0,0,0,0,0.0120640205718,0.0284751509038,0,0,0,0,0.0219575730308
Learn French Naturally For Children and the Young at Heart 1,0.28203763716,0,0,0,0.223455792858,0.330378874469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312482549219,0.118953711147
How to Break out of the Pack,0,0,0,0,0,0,0.956997174353,0,0,0,0,0,0,0,0,0,0,0,0,0.0265193091626,0,0,0,0,0,0
"Science, Technology, and Society in China I: Basic Concepts",0.142145943021,0.28951102885,0,0,0,0,0,0,0,0,0,0,0.0366317218642,0,0,0,0,0,0,0.521000498085,0,0,0,0,0,0
Introduction to Data Structures & Algorithms in Java,0,0,0,0,0,0.0912753785011,0,0,0,0,0,0,0,0.903262627871,0,0,0,0,0,0,0,0,0,0,0,0
"Algorithms, Part II",0,0,0,0,0,0,0,0,0,0,0,0.216962885409,0,0.246537793152,0,0.519808465125,0,0,0,0,0,0,0,0,0,0
Autonomous Navigation for Flying Robots,0,0,0,0,0,0,0,0.133911885739,0,0,0.0349330308118,0.261202395328,0,0.0333494601572,0,0.278476771282,0,0,0,0.135867251683,0.0466767565747,0,0,0.0719387237274,0,0
iPhone 6 Photography Course: Take DSLR Pro Quality Photo ,0,0,0,0,0,0,0,0,0,0.24388070197,0.0131433433652,0,0,0,0,0,0,0,0,0,0.674099440115,0.0430571472876,0,0,0.0238299773415,0
"Photo Gallery with PHP, MySQL, ImageMagick and jQuery",0,0,0,0,0,0,0,0,0,0,0.597192156721,0,0,0,0,0,0,0,0,0,0.376434216905,0,0,0,0,0
Jugando con Android- Aprende a Programar tu Primera App,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969951923074,0,0,0,0,0,0,0,0,0
The Ultimate Web Development Course,0,0,0,0,0,0,0,0,0,0,0.765555170634,0.0172566344675,0,0.207962076844,0,0,0,0,0,0,0,0,0,0,0,0
Learn to Pick the Right Stock Broker Account,0,0,0,0.108130258062,0,0.431303312379,0.0320791477514,0,0,0,0,0,0,0,0,0.135714953085,0,0,0,0,0,0,0.0374175820957,0,0.246711704275,0
How To Flex Your Spine And Get Dramatic Results -Yoga Strap!,0,0,0,0,0,0,0,0,0.0473139025382,0,0,0,0,0,0,0,0,0.951663863881,0,0,0,0,0,0,0,0
